,OUR,BTER,Hyper-dk,HyperCL,HyperFF,HyperPA,HyperLAP,THera
email-Enron,-0.27 (3.22),-0.11 (3.89),0.09 (4.67),0.21 (4.44),1.00 (5.78),-,-0.59 (2.44),-0.34 (3.56)
email-Eu,-0.37 (4.00),-0.22 (4.33),-0.18 (3.78),-0.11 (4.11),0.23 (4.78),1.02 (6.22),-0.61 (3.11),0.23 (5.67)
NDC-classes,-0.35 (4.11),-0.29 (4.11),-0.35 (3.89),0.17 (5.11),0.37 (5.22),0.73 (5.56),-0.30 (3.67),0.01 (4.33)
NDC-substances,-0.43 (3.78),-0.09 (4.00),0.06 (4.11),-0.25 (4.67),0.45 (5.89),-0.04 (4.44),-0.46 (3.22),0.75 (5.78)
contact-primary,-0.26 (4.22),0.07 (5.22),-0.15 (4.11),-0.33 (4.33),0.65 (5.67),0.91 (6.11),-0.36 (3.33),-0.53 (3.00)
contact-high,-0.30 (3.89),0.22 (5.33),-0.32 (3.89),0.12 (5.11),0.29 (4.89),0.77 (5.89),-0.25 (3.89),-0.54 (3.11)
