AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff
hyperlap,-1,0.100498,0,0.312462,0.01637500000000003,0.14816403845714873,1.658643036245093,0.6487456861097716,0.20561397739377044,0.2440424018804742
hypercl,-1,0.020365999999999995,0,0.1797740000000001,0.12278699999999998,0.058056057992650366,2.9768832694214895,2.868105134539173,0.16419725677161107,0.3165609834990427
hyperpa,-1,0.15492499999999976,0.003369999999999873,0.06057000000000001,0.09948099999999993,0.15339098638921123,0.8953739946516787,1.1847085680063378,0.8767263760675502,0.3106669000798806
hyperff,0.51_0.2,0.5731339999999996,0.109473,0.4758520000000001,0.13082799999999994,0.2582363536322834,2.2317684416712567,2.7446683777258323,2.328656053330864,0.330879502009996
hyperff,0.45_0.2,0.708458,0.109473,0.5091410000000001,0.11496899999999999,0.5057876434714569,2.0981128921112275,2.6681583523600074,3.052739370009743,1.046404915352795
hyperff,0.48_0.2,0.6557229999999996,0.109473,0.493605,0.12177700000000002,0.3261828239332112,2.093381524270462,2.61063504606288,2.8918686484556373,0.8977324452066503
hyperff,0.45_0.3,0.6686579999999998,0.135262,0.43121399999999993,0.09533899999999995,0.2589384936833629,2.430314292848474,2.5871698964711296,2.9404367661779345,0.6687879147049841
hyperff,0.48_0.3,0.6308469999999997,0.13553300000000001,0.4191289999999999,0.10198099999999999,0.26914610022816127,2.712073782999668,2.7351406534391436,2.734055646245495,0.3800701197459515
hyperff,0.51_0.3,0.5492549999999998,0.14053400000000005,0.37837999999999994,0.11763000000000001,0.2537596122938774,2.5644583766018476,2.664379533408733,2.1718364958950978,0.10242708629843236
