AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff,avg
hyperlap,-1,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,1.7777777777777777
hypercl,-1,1.0,1.0,2.0,8.0,1.0,9.0,9.0,1.0,4.0,4.0
hyperpa,-1,3.0,3.0,1.0,3.0,3.0,1.0,2.0,3.0,3.0,2.4444444444444446
hyperff,0.51_0.2,5.0,4.0,7.0,9.0,5.0,5.0,8.0,5.0,5.0,5.888888888888889
hyperff,0.45_0.2,9.0,4.0,9.0,5.0,9.0,4.0,6.0,9.0,9.0,7.111111111111111
hyperff,0.48_0.2,7.0,4.0,8.0,7.0,8.0,3.0,4.0,7.0,8.0,6.222222222222222
hyperff,0.45_0.3,8.0,7.0,6.0,2.0,6.0,6.0,3.0,8.0,7.0,5.888888888888889
hyperff,0.48_0.3,6.0,8.0,5.0,4.0,7.0,8.0,7.0,6.0,6.0,6.333333333333333
hyperff,0.51_0.3,4.0,9.0,4.0,6.0,4.0,7.0,5.0,4.0,1.0,4.888888888888889
