AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff
thera,8_0.5_6.0,0.216963,0.135557,0.20959499999999998,0.07414599999999993,0.8018943665345044,0.26595924216014893,0.39932359526368727,0.17531991753892978,0.3137314316736065
thera,15_0.9_6.0,0.323473,0.135557,0.13001700000000005,0.007725000000000093,0.29868811007827645,0.357187735018724,0.2491866884697018,0.2576209977044962,0.0814689701813516
thera,8_0.5_10.0,0.167653,0.135557,0.166929,0.085534,0.5019484396862637,0.20321602816923773,0.3772037694410078,0.19558504092961249,0.28294341262457584
thera,8_0.9_10.0,0.270217,0.135557,0.150173,0.017214000000000063,0.3999475550724908,0.3198562930157395,0.2632110146174666,0.229583817063469,0.06090858293107725
thera,15_0.7_2.0,0.313611,0.135557,0.255282,0.05774699999999999,0.47821547729191927,0.3461254034713441,0.33686271538081297,0.2690950247082441,0.24553914198298932
thera,12_0.9_10.0,0.270217,0.135557,0.195592,0.02710899999999994,0.35749181374737116,0.38368219983724716,0.28106792568714845,0.26869296566411544,0.11639110290415793
thera,12_0.7_10.0,0.28008,0.135557,0.20276000000000005,0.06498999999999999,0.3303648149129574,0.44446784607278395,0.27012381666784857,0.22692708382454616,0.23585024774439767
thera,15_0.5_6.0,0.201184,0.135557,0.27712499999999995,0.09582399999999991,0.21141969569185867,0.35741531118074044,0.4140344046498444,0.2074705547342422,0.25735788912193536
thera,15_0.7_6.0,0.289941,0.135557,0.21496899999999997,0.05120999999999998,0.31574134923544406,0.30159141811048373,0.31032881624132547,0.23358103132361877,0.21936178610816343
thera,12_0.7_6.0,0.26232900000000003,0.135557,0.22062499999999996,0.065716,0.3726727692008541,0.5475064494859845,0.3263616027822682,0.24765536527145274,0.191788782013273
thera,12_0.9_6.0,0.325445,0.135557,0.18542499999999995,0.009715999999999947,0.28525351330130705,0.27607149286734756,0.2171186089108801,0.2642182125278577,0.0012671473626665371
thera,8_0.7_2.0,0.295858,0.135557,0.27309799999999995,0.03519099999999997,0.46867566523262577,0.34706610646108227,0.2914424897975275,0.2511062426892254,0.19660065824227937
thera,8_0.5_2.0,0.248522,0.135557,0.26508600000000004,0.06569199999999997,0.24357310521690273,0.2900694586011595,0.3647965681913351,0.23240221611973275,0.30201869063038694
thera,15_0.5_2.0,0.276136,0.135557,0.32711500000000004,0.09800999999999993,0.4027110088462358,0.3785897100108891,0.397258961298475,0.2702974301477951,0.2556661270525748
thera,12_0.5_2.0,0.26035600000000003,0.135557,0.29313500000000003,0.07989399999999991,0.3311745086675113,0.2487001821844161,0.3967912318790257,0.2400535830984473,0.32788471628961435
thera,8_0.9_6.0,0.291914,0.135557,0.20094,0.02317200000000008,0.3535225760550027,0.3056934502854045,0.32025959746199834,0.22926461340316376,0.06950049928865619
thera,12_0.5_6.0,0.224853,0.135557,0.208067,0.07776399999999994,0.3639129026562357,0.327936503080682,0.3961367146234933,0.19585227397802396,0.2668134720020221
thera,15_0.9_10.0,0.337279,0.135557,0.17053200000000002,0.01722199999999996,0.6937487121739877,0.3032410560283699,0.24535448782299585,0.258502527514585,0.04995512324253251
thera,12_0.7_2.0,0.31755500000000003,0.135557,0.31229799999999996,0.07283399999999995,0.3002235208739905,0.27609411816490387,0.35468351395887976,0.28426969788436063,0.20966177331710584
thera,8_0.7_10.0,0.236687,0.135557,0.19503000000000004,0.06364700000000001,0.541211945533428,0.34379184607807545,0.32508216379778654,0.21641724231564677,0.20278696144877845
thera,15_0.7_10.0,0.28008,0.135557,0.20535899999999996,0.06634099999999998,0.41717783125627894,0.4343057260780276,0.2798151169365935,0.24090437475632395,0.21143628498178862
thera,8_0.7_6.0,0.244577,0.135557,0.19012300000000004,0.04865599999999992,0.38302723364083535,0.6550726037302864,0.3156011107900292,0.22173399412616376,0.1676593649742709
thera,12_0.9_2.0,0.349113,0.135557,0.234943,0.017615000000000047,0.3576614853680284,0.2966081762556723,0.21559300159492834,0.24274497759236252,0.0695630388015046
thera,12_0.5_10.0,0.211046,0.135557,0.23222299999999996,0.09649699999999994,0.23190582245395483,0.4716612874027473,0.39644501457750436,0.19649902716381432,0.272647460472966
thera,8_0.9_2.0,0.278108,0.135557,0.24020300000000006,0.004370000000000096,0.38209542027574916,0.34966641374699614,0.24317912719795545,0.251863362697649,0.08662677265641021
thera,15_0.9_2.0,0.353058,0.135557,0.22439699999999996,0.024276999999999993,0.4159490767429576,0.25410093355442315,0.2737155805334526,0.28104703461005703,0.02582829669392232
thera,15_0.5_10.0,0.220908,0.135557,0.196712,0.08639699999999995,0.5642407274616054,0.24861499838821338,0.4383195146770481,0.2113414633741287,0.2803995850029874
