AlgoName,AlgoOpt,deg,sz,pd,its,cch,dst,ov,sv,eff
hyperlap,-1,0.100498,0,0.312462,0.01637500000000003,0.14816403845714873,1.658643036245093,0.6487456861097716,0.20561397739377044,0.2440424018804742
hypercl,-1,0.020365999999999995,0,0.1797740000000001,0.12278699999999998,0.058056057992650366,2.9768832694214895,2.868105134539173,0.16419725677161107,0.3165609834990427
hyperpa,-1,0.15492499999999976,0.003369999999999873,0.06057000000000001,0.09948099999999993,0.15339098638921123,0.8953739946516787,1.1847085680063378,0.8767263760675502,0.3106669000798806
thera,12_0.7_10.0,0.5900380000000011,0.109473,0.20584199999999997,0.06583399999999995,0.8761025755257511,1.6638611319606598,1.4537269253389362,0.32703493509558956,0.32416053517653126
thera,8_0.5_6.0,0.5601880000000014,0.109473,0.18965600000000005,0.08163999999999993,0.6446951080884825,1.9451885977544043,1.944195275381641,0.29027014324790895,0.3251479453526603
thera,15_0.9_2.0,0.6318280000000005,0.109473,0.382133,0.01536599999999999,0.8284195261329149,2.0761194237788114,1.8141036382470632,0.42219853067395846,0.3379561362176382
thera,8_0.5_10.0,0.5601880000000014,0.109473,0.17194900000000013,0.08499400000000001,0.3203383467822123,1.229111500150129,1.4686255918608053,0.32442184980443456,0.3225644782222732
thera,12_0.9_10.0,0.6258580000000005,0.109473,0.21435900000000008,0.007276999999999978,0.6139594436660574,1.6335926308812463,1.349172269952922,0.3729686661714382,0.32377021750707685
thera,15_0.5_2.0,0.5711330000000012,0.109473,0.31327100000000013,0.09581399999999995,0.34158288622908156,2.4315270679257717,2.321115912562204,0.36993852049155873,0.34973433730603903
thera,12_0.9_6.0,0.6238680000000005,0.109473,0.245907,0.005916000000000032,0.7050246052560162,1.690765030355415,1.5157047000697381,0.3646592659018766,0.3269542195502335
thera,8_0.9_2.0,0.6178980000000005,0.109473,0.324614,0.020326000000000066,0.7328709933118532,1.7493555492493906,1.7816429822325892,0.33943413950950885,0.34009316247567273
thera,8_0.9_10.0,0.6139180000000007,0.109473,0.19954500000000008,0.027125000000000066,0.9270428358566762,1.594826683607287,1.2031233409248328,0.34135068603676694,0.3221479602710806
thera,12_0.5_2.0,0.5691430000000013,0.109473,0.31027799999999994,0.09307900000000002,0.4454924906607638,2.433151307451334,2.3875857888997847,0.35001481330066153,0.34929223024477407
thera,15_0.5_6.0,0.5651630000000013,0.109473,0.23360100000000006,0.093252,0.4368928889355551,1.910355891918514,1.8699270840918594,0.2814294431116703,0.3290871834317236
thera,12_0.7_6.0,0.589043000000001,0.109473,0.23672100000000007,0.06021900000000002,0.8331663876547728,1.8198229676074364,1.735416275071361,0.31380823757785953,0.3272404360374817
thera,15_0.7_10.0,0.595013000000001,0.109473,0.20897699999999986,0.06932099999999997,0.6963365577600293,1.7006661234777358,1.4577169539060302,0.3476329854493376,0.32536394500115
thera,15_0.7_6.0,0.5989930000000009,0.109473,0.24396399999999996,0.06465399999999999,0.5557555573344882,1.7100202405408496,1.518103575552062,0.3406139764322461,0.32828830243702223
thera,15_0.5_10.0,0.5641680000000013,0.109473,0.199797,0.094978,0.5043696912014283,1.7723601546442822,1.6138533744883239,0.29983751910567036,0.32591755178370324
thera,15_0.9_6.0,0.6278480000000005,0.109473,0.2641379999999999,0.01105299999999998,0.6707882210827734,1.6346909978503654,1.346392663290133,0.3873213013115926,0.32724775543246437
thera,8_0.7_2.0,0.5960080000000009,0.109473,0.309057,0.04515400000000003,0.40335026186741857,2.270507576677289,2.2439450532355423,0.3367572256252492,0.34269782556728956
thera,12_0.5_10.0,0.5611830000000013,0.109473,0.199897,0.09304499999999993,0.3461453645766892,1.718988633665513,1.5854353196647806,0.30721388333545413,0.32428694649566464
thera,12_0.9_2.0,0.6228730000000005,0.109473,0.35482700000000006,0.0042480000000000295,0.7632547358143681,2.1061377640941017,1.9245878900105216,0.3860218291280263,0.33986409528938194
thera,8_0.7_6.0,0.582078000000001,0.109473,0.19759199999999988,0.04872999999999994,0.45298507458293513,1.8241330091025088,1.769598220132244,0.2821469960309037,0.3247248013604818
thera,8_0.9_6.0,0.6139180000000007,0.109473,0.21536500000000014,0.03143000000000007,0.5934946763551866,1.7190294114398446,1.6299773557422048,0.3321083388008202,0.3246527586546719
thera,8_0.7_10.0,0.5810830000000011,0.109473,0.1858200000000001,0.056284,0.31462635271728984,1.2015649180466175,1.1081161224569553,0.29702195880224735,0.32236961540334097
thera,15_0.9_10.0,0.6228730000000005,0.109473,0.23441099999999992,0.01060799999999995,0.7488585143540434,1.651836118054014,1.3427034112718408,0.38787769134715094,0.32482618325477114
thera,8_0.5_2.0,0.5621780000000013,0.109473,0.2924260000000001,0.08651599999999993,0.2553082084233862,2.455088488523803,2.4836367643013015,0.3276507170993544,0.3451587111049381
thera,15_0.7_2.0,0.599988000000001,0.109473,0.34042999999999995,0.06441600000000003,0.6645910773865721,2.238053531807132,2.064489941946633,0.37540498290209584,0.34408468168015954
thera,12_0.7_2.0,0.5989930000000009,0.109473,0.3327919999999999,0.05890799999999996,0.5433395372291268,2.2687609730374043,2.1609962405678655,0.3609694246219471,0.3455588984031364
thera,12_0.5_6.0,0.5631730000000014,0.109473,0.218943,0.08947899999999998,0.4731788970705697,1.9916661283302886,1.9794259547018616,0.2806401037854891,0.32777114661943446
